part_num,manufacturer,TNVED,concat_str,path_ds,id_path
HMC433ETR,HITTITE,8542399010,HMC433ETR HITTITE,M:\DataSheet\b11443bd-48a9-11ed-96e6-f8bc12505841.pdf,b11443bd-48a9-11ed-96e6-f8bc12505841
TPS61160DRVR,TEXAS INSTRUMENTS,8542399010,TPS61160DRVR TEXAS INSTRUMENTS,M:\DataSheet\6aff8bdd-197f-11ed-96e4-f8bc12505841.pdf,6aff8bdd-197f-11ed-96e4-f8bc12505841
ADL5561ACPZ-R7,ANALOG DEVICES,8542339000,ADL5561ACPZ-R7 ANALOG DEVICES,M:\DataSheet\48840cbb-17f1-11ed-96e4-f8bc12505841.pdf,48840cbb-17f1-11ed-96e4-f8bc12505841
LSM6DSVTR,ST MICROELECTRONICS,8542393000,LSM6DSVTR ST MICROELECTRONICS,M:\DataSheet\dbfdd943-1426-11ee-96f2-f8bc12505841.pdf,dbfdd943-1426-11ee-96f2-f8bc12505841
EP2C20Q240C8N,ALTERA,8542399010,EP2C20Q240C8N ALTERA,M:\DataSheet\34ce5237-33fc-11ed-96e6-f8bc12505841.pdf,34ce5237-33fc-11ed-96e6-f8bc12505841
PIC18LF46K22-I/PT,MICROCHIP TECHNOLOGY,8542319010,PIC18LF46K22-I/PT MICROCHIP TECHNOLOGY,M:\DataSheet\f24ae6c8-1199-11ee-96f2-f8bc12505841.pdf,f24ae6c8-1199-11ee-96f2-f8bc12505841
22.05.7065,MOLEX,8536693000,22.05.7065 MOLEX,M:\DataSheet\fa5a775d-1a3a-11ee-96f2-f8bc12505841.pdf,fa5a775d-1a3a-11ee-96f2-f8bc12505841
73415-6180,MOLEX,8536691000,73415-6180 MOLEX,M:\DataSheet\03724a4f-1fcb-11ee-96f2-f8bc12505841.pdf,03724a4f-1fcb-11ee-96f2-f8bc12505841
TLP2361(TPL.E,TOSHIBA,8541420000,TLP2361(TPL.E TOSHIBA,M:\DataSheet\182df52d-d861-11ed-96ef-f8bc12505841.pdf,182df52d-d861-11ed-96ef-f8bc12505841
G5S12010M,GLOBAL POWER TECHNOLOGY,8541100009,G5S12010M GLOBAL POWER TECHNOLOGY,M:\DataSheet\042b03fc-df92-11ed-96f0-f8bc12505841.pdf,042b03fc-df92-11ed-96f0-f8bc12505841
G5S12040PPM,GLOBAL POWER TECHNOLOGY,8541100009,G5S12040PPM GLOBAL POWER TECHNOLOGY,M:\DataSheet\89a77e66-e5da-11ed-96f0-f8bc12505841.pdf,89a77e66-e5da-11ed-96f0-f8bc12505841
55932-0710,MOLEX,8536693000,55932-0710 MOLEX,M:\DataSheet\f395b218-0474-11ee-96f1-f8bc12505841.pdf,f395b218-0474-11ee-96f1-f8bc12505841
55917-1410,MOLEX,8536693000,55917-1410 MOLEX,M:\DataSheet\898140fe-0474-11ee-96f1-f8bc12505841.pdf,898140fe-0474-11ee-96f1-f8bc12505841
51382-0700,MOLEX,8538909908,51382-0700 MOLEX,M:\DataSheet\6b4a0da5-0474-11ee-96f1-f8bc12505841.pdf,6b4a0da5-0474-11ee-96f1-f8bc12505841
0430300002,MOLEX,8536699008,0430300002 MOLEX,M:\DataSheet\bfde9767-0132-11ee-96f1-f8bc12505841.pdf,bfde9767-0132-11ee-96f1-f8bc12505841
5P49V6975A000LTGI,RENESAS ELECTRONICS AMERICA INC,8542399010,5P49V6975A000LTGI RENESAS ELECTRONICS AMERICA INC,M:\DataSheet\6b0c807b-044f-11ee-96f1-f8bc12505841.pdf,6b0c807b-044f-11ee-96f1-f8bc12505841
TPS22860DBVR,TEXAS INSTRUMENTS,8542399010,TPS22860DBVR TEXAS INSTRUMENTS,M:\DataSheet\8c82bd5d-29e1-11ed-96e6-f8bc12505841.pdf,8c82bd5d-29e1-11ed-96e6-f8bc12505841
CSD-8/2-MST145-95/R,E-TEC,8536693000,CSD-8/2-MST145-95/R E-TEC,M:\DataSheet\54e80050-22a3-11ed-96e5-f8bc12505841.pdf,54e80050-22a3-11ed-96e5-f8bc12505841
2J9001JBWGF-C392NWP-B10BW_CU100549,2J,8529106909,2J9001JBWGF-C392NWP-B10BW_CU100549 2J,M:\DataSheet\00ea31c2-a16e-11ed-96ed-f8bc12505841.pdf,00ea31c2-a16e-11ed-96ed-f8bc12505841
2J4301MPGF-050RG174-C20NST_CU100549,2J,8529106909,2J4301MPGF-050RG174-C20NST_CU100549 2J,M:\DataSheet\7739a548-a16e-11ed-96ed-f8bc12505841.pdf,7739a548-a16e-11ed-96ed-f8bc12505841
FC-64P-100,OUPIIN ENTERPRISE,other,FC-64P-100 OUPIIN ENTERPRISE,M:\DataSheet\e0339e3f-5879-11ee-96f4-f8bc12505841.pdf,e0339e3f-5879-11ee-96f4-f8bc12505841
FC-40P-100,OUPIIN ENTERPRISE,other,FC-40P-100 OUPIIN ENTERPRISE,M:\DataSheet\e0339dd5-5879-11ee-96f4-f8bc12505841.pdf,e0339dd5-5879-11ee-96f4-f8bc12505841
FC-26P-100,OUPIIN ENTERPRISE,other,FC-26P-100 OUPIIN ENTERPRISE,M:\DataSheet\d9ffb396-5879-11ee-96f4-f8bc12505841.pdf,d9ffb396-5879-11ee-96f4-f8bc12505841
FC-16P-100,OUPIIN ENTERPRISE,other,FC-16P-100 OUPIIN ENTERPRISE,M:\DataSheet\d9ffb350-5879-11ee-96f4-f8bc12505841.pdf,d9ffb350-5879-11ee-96f4-f8bc12505841
FC-10P-100,OUPIIN ENTERPRISE,other,FC-10P-100 OUPIIN ENTERPRISE,M:\DataSheet\40c4a1fb-873e-11ed-96ea-f8bc12505841.pdf,40c4a1fb-873e-11ed-96ea-f8bc12505841
9001-C12962C00A-OP2,OUPIIN ENTERPRISE,8536693000,9001-C12962C00A-OP2 OUPIIN ENTERPRISE,M:\DataSheet\cd3cdb6a-4fbd-11ed-96e6-f8bc12505841.pdf,cd3cdb6a-4fbd-11ed-96e6-f8bc12505841
2J4301MPGFDx-200LL100-CE_CU100549,2J,8529106909,2J4301MPGFDX-200LL100-CE_CU100549 2J,M:\DataSheet\7b671cd4-a937-11ed-96ed-f8bc12505841.pdf,7b671cd4-a937-11ed-96ed-f8bc12505841
2J4301MPGFDx-200RG174-CE_CU100549,2J,8529106909,2J4301MPGFDX-200RG174-CE_CU100549 2J,M:\DataSheet\2cb1e5c7-0f3c-11ee-96f2-f8bc12505841.pdf,2cb1e5c7-0f3c-11ee-96f2-f8bc12505841
9001-11961C00A-OP2,OUPIIN ENTERPRISE,8536693000,9001-11961C00A-OP2 OUPIIN ENTERPRISE,M:\DataSheet\7b601457-4fbd-11ed-96e6-f8bc12505841.pdf,7b601457-4fbd-11ed-96e6-f8bc12505841
MB300U02FJ,YANGZHOU YANGJIE ELECTRONIC,8541100009,MB300U02FJ YANGZHOU YANGJIE ELECTRONIC,M:\DataSheet\c2a4ee23-06a1-11ee-96f2-f8bc12505841.pdf,c2a4ee23-06a1-11ee-96f2-f8bc12505841
700-TFL-9001,ECS,3926909709,700-TFL-9001 ECS,M:\DataSheet\6d4dcb0b-cec8-11ed-96ef-f8bc12505841.pdf,6d4dcb0b-cec8-11ed-96ef-f8bc12505841
GNI085096-P53,"ELITE PHOTOELECTRIC TECH CO., LTD",8541290000,"GNI085096-P53 ELITE PHOTOELECTRIC TECH CO., LTD",M:\DataSheet\b8ce357f-17eb-11ed-96e4-f8bc12505841.pdf,b8ce357f-17eb-11ed-96e4-f8bc12505841
SiT1602BI-11-18E-54.000000G,SITIME,8542393000,SIT1602BI-11-18E-54.000000G SITIME,M:\DataSheet\02dbfb8e-fec6-11ed-96f1-f8bc12505841.pdf,02dbfb8e-fec6-11ed-96f1-f8bc12505841
ADP7118ARDZ-1.8,ANALOG DEVICES,8542399010,ADP7118ARDZ-1.8 ANALOG DEVICES,M:\DataSheet\f4c27e47-daab-11ed-96ef-f8bc12505841.pdf,f4c27e47-daab-11ed-96ef-f8bc12505841
ADP3334ARMZ-REEL7,ANALOG DEVICES,8542399010,ADP3334ARMZ-REEL7 ANALOG DEVICES,M:\DataSheet\064f8d8e-da9f-11ed-96ef-f8bc12505841.pdf,064f8d8e-da9f-11ed-96ef-f8bc12505841
FCA-304-E125-4408-9,E-TEC,8544429007,FCA-304-E125-4408-9 E-TEC,M:\DataSheet\714c540c-09ae-11ee-96f2-f8bc12505841.pdf,714c540c-09ae-11ee-96f2-f8bc12505841
5P49V6975A000LTGI8,RENESAS ELECTRONICS AMERICA INC,8542399010,5P49V6975A000LTGI8 RENESAS ELECTRONICS AMERICA INC,M:\DataSheet\9351ecc0-0f5f-11ee-96f2-f8bc12505841.pdf,9351ecc0-0f5f-11ee-96f2-f8bc12505841
HSMS-2860-BLKG,BROADCOM LIMITED,8541100009,HSMS-2860-BLKG BROADCOM LIMITED,M:\DataSheet\fc2285b1-45a6-11ee-96f2-f8bc12505841.pdf,fc2285b1-45a6-11ee-96f2-f8bc12505841
LTC2252IUH#PBF,LINEARTECHNOLOGY,8542399010,LTC2252IUH#PBF LINEARTECHNOLOGY,M:\DataSheet\f8a32821-221a-11ee-96f2-f8bc12505841.pdf,f8a32821-221a-11ee-96f2-f8bc12505841
FAN3122TMX,ON SEMICONDUCTOR,8542399010,FAN3122TMX ON SEMICONDUCTOR,M:\DataSheet\5aa6103a-1419-11ee-96f2-f8bc12505841.pdf,5aa6103a-1419-11ee-96f2-f8bc12505841
TMR 2-4811WI,TRACO POWER,8504409100,TMR 2-4811WI TRACO POWER,M:\DataSheet\e454e296-fead-11ed-96f1-f8bc12505841.pdf,e454e296-fead-11ed-96f1-f8bc12505841
3-inch 4H HPSI SiC substrate,SICC SCIENCE&TECHNOLOGY,other,3-INCH 4H HPSI SIC SUBSTRATE SICC SCIENCE&TECHNOLOGY,M:\DataSheet\fad05d9d-24b7-11ee-96f2-f8bc12505841.docx,fad05d9d-24b7-11ee-96f2-f8bc12505841
MBC-020-BMH42-96/11G,E-TEC,8536693000,MBC-020-BMH42-96/11G E-TEC,M:\DataSheet\430d2a0a-2397-11ed-96e5-f8bc12505841.pdf,430d2a0a-2397-11ed-96e5-f8bc12505841
55935-0430,MOLEX,8536693000,55935-0430 MOLEX,M:\DataSheet\b7495ae4-0475-11ee-96f1-f8bc12505841.pdf,b7495ae4-0475-11ee-96f1-f8bc12505841
CLA4605-000,SKYWORKS,8541100009,CLA4605-000 SKYWORKS,M:\DataSheet\20e27d5b-40fb-11ee-96f2-f8bc12505841.pdf,20e27d5b-40fb-11ee-96f2-f8bc12505841
HMC346MS8GETR,HITTITE,8542399010,HMC346MS8GETR HITTITE,M:\DataSheet\29afb2b2-64e6-11ed-96e9-f8bc12505841.pdf,29afb2b2-64e6-11ed-96e9-f8bc12505841
IRM15-12,MEAN WELL,8504408300,IRM15-12 MEAN WELL,M:\DataSheet\ab6cca98-2619-11ee-96f2-f8bc12505841.pdf,ab6cca98-2619-11ee-96f2-f8bc12505841
HF3-25DC15T3B-A8P-31MG,UD INFO,8523511000,HF3-25DC15T3B-A8P-31MG UD INFO,M:\DataSheet\9dadacea-0449-11ee-96f1-f8bc12505841.pdf,9dadacea-0449-11ee-96f1-f8bc12505841
776164-4,TE CONNECTIVITY,8538909908,776164-4 TE CONNECTIVITY,M:\DataSheet\04132950-a91d-11ed-96ed-f8bc12505841.pdf,04132950-a91d-11ed-96ed-f8bc12505841
EQY-5-63+,MINI-CIRCUITS,8529108000,EQY-5-63+ MINI-CIRCUITS,M:\DataSheet\8f55f418-d39d-11ed-96ef-f8bc12505841.pdf,8f55f418-d39d-11ed-96ef-f8bc12505841
HPC817C-2,XIAMEN HUALIAN ELECTRONICS,8541420000,HPC817C-2 XIAMEN HUALIAN ELECTRONICS,M:\DataSheet\70699fa3-c166-11ec-96e1-f8bc12505841.pdf,70699fa3-c166-11ec-96e1-f8bc12505841
